filename,elapsed time,result,cpu time,parse time,solve time,solve time det,optimization time,top-down time,top-down time det,bottom-up solve time,bottom-up solve time det,conflict analysis time,learned minimize time,propagation time,constraint cleanup time,inprocessing time,garbage collection time,constraint learning time,time spent in activity heuristic,at-most-one detection time,at-most-one detection time det,time spent in lift degree optimization,number of lifted degrees,LP solve time,LP total time,LP total time det,cores,solutions,propagations,decisions,conflicts,restarts,inprocessing phases,original variables,auxiliary variables,input clauses,input cardinalities,input general constraints,input length average,input degree average,input strength average,learned clauses,learned cardinalities,learned general constraints,learned length average,learned degree average,learned strength average,learned LBD average,unit literals derived,pure literals,constraints satisfied at root,constraints simplified during database reduction,small coef constraints,large coef constraints,arbitrary coef constraints,probing calls,probing inprocessing time,unit lits due to probing,equalities due to probing,implications added due to probing,max implications in memory due to probing,detected at-most-ones,units derived during at-most-one detection,resolve steps,self-subsumptions,gcd simplifications,detected cardinalities,weakened non-implied,weakened non-implying,number of multiply-weakens on reason,number of multiply-weakens on conflict,number of direct multiply-weakens,number of indirect multiply-weakens,clausal propagations,cardinality propagations,watched propagations,counting propagations,watch lookups,watch backjump lookups,watch checks,propagation checks,blocking literal success,blocking literal fails,literal additions,saturation steps,unknown literals rounded up,trail pops,formula constraints,dominance breaking constraints,learned constraints,bound constraints,core-guided constraints,reduced constraints,encountered formula constraints,encountered dominance breaking constraints,encountered learned constraints,encountered bound constraints,encountered core-guided constraints,encountered reduced constraints,encountered detected at-most-ones,encountered detected equalities,encountered detected implications,CG unit cores,CG non-clausal cores,best upper bound,best lower bound,LP relaxation objective,LP constraints added,LP constraints removed,LP pivots,LP approximate operations,LP literal additions,LP calls,LP optimalities,LP no pivot count,LP infeasibilities,LP Farkas constraints,LP dual constraints,LP basis resets,LP cycling count,LP singular count,LP no primal count,LP no dual count,LP no farkas count,LP other issue count,LP Gomory cuts,LP learned cuts,LP deleted cuts,LP encountered Gomory constraints,LP encountered Farkas constraints,LP encountered dual constraints
normalized-cc.opb.xz,0.09356832504272461,OPTIMUM FOUND,0.0770432,0.00252848,0.0744286,0.0556689,0.0528055,0.0106553,0.0457578,0.0109677,0.00752464,0.0174932,1.2391e-05,0.0333693,0,0.00203136,0,0.0162668,0.0016875,0.00121866,0.000475333,0,0,0.01,0.0146587,0.00593376,14,3,18786,2522,571,4,0,133,18,330,13,34,10.2281,132.223,0.436702,177,4,423,30.298,1.85131e+09,0.423025,11.6258,78,0,13,0,457,0,0,502,0.000270485,31,10,5,176,0,0,2931,14,169,3,18783,0,39,48,75,0,7118,333,8588,0,96114,14069,934045,226109,1256,518,50630,137076,0,21805,210,106,583,26,35,0,1620,18,961,38,44,0,0,0,82,1,0,1567,1567,1560.5,197,0,302,275872,3456,16,2,1,14,14,2,0,0,0,0,0,0,0,0,0,0,0,168,0
normalized-10_20.opb.xz,0.09739208221435547,OPTIMUM FOUND,0.0818896,0.00256928,0.0792315,0.0752923,0.00973246,0.00218353,0.00272978,0.0673155,0.0682674,0.020966,0,0.0329155,0,0.00424671,0,0.0174366,0.00216808,0.00233699,0.00178319,0,0,0,0.0169334,0.00811986,1,3,20329,1731,318,2,0,210,1,1121,21,8,3.69565,613.804,0.502161,7,40,323,49.3595,1.50413e+09,0.613637,9.12973,84,0,0,0,331,0,0,832,5.4465e-05,0,0,0,540,40,0,2230,36,13,0,31784,0,15,56,71,0,6815,6322,6199,0,87600,49078,1111202,458257,59,24,61977,175428,0,22296,240,900,319,8,2,0,1565,0,358,87,0,0,0,0,0,0,0,8034,8034,8034,240,0,324,303720,5038,11,1,0,10,10,1,0,0,0,0,0,0,0,0,0,0,0,218,2
normalized-8_16.opb.xz,0.10243535041809082,OPTIMUM FOUND,0.0868592,0.00178917,0.084973,0.0724694,0.0364894,0.015103,0.0392886,0.0333805,0.0283038,0.0173392,2.2626e-05,0.0420303,0,0.00238485,0,0.0172816,0.00243313,0.00138616,0.00096474,0,0,0.01,0.0153941,0.00770526,0,30,16826,2648,453,3,0,136,0,592,16,60,14.3234,4667.24,0.534624,35,32,444,47.0274,4.05557e+09,0.570443,11.5029,11,0,0,0,504,0,0,574,0.000478489,0,0,0,387,32,0,2394,29,33,0,21199,0,79,58,136,0,6606,4978,4224,0,132435,34887,1589566,389740,948,500,60347,184349,0,19916,160,448,453,60,0,0,1554,0,569,76,0,0,0,0,0,0,0,5852,5852,5763,160,0,345,215264,5086,27,7,0,20,19,7,0,0,0,0,0,0,0,0,0,0,0,138,57
normalized-libpango-perl.cudf.trendy.opb.xz,11.784873723983765,OPTIMUM FOUND,11.025,0.37163,10.6533,11.0528,6.50489,1.83218,1.30825,2.31624,1.42292,0.0652333,0.00223389,3.35156,0,5.76174,0,0.248773,0.418833,0.112382,0.35642,0,0,0.1,0.311282,3.51635,242,200,7814922,3214474,1801,11,0,21101,62,4465468,1633,704,2.65757,1.79637e+09,0.496931,1921,35,28,33.5675,7.13792e+08,0.512854,2.39466,16632,0,140767,0,252,480,0,896,0.0117308,331,222,44,5659,5,114,5676,103,4,1,35685,0,0,0,0,0,6611303,651913,335121,0,9563026,532677,15934004,749371031,0,0,116761,26201978,0,11014610,99894,4367060,1868,704,147,0,5330,0,247,42,19,0,0,0,38,182,0,3256361088356,3256361088356,nan,96795,0,2000,652930000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normalized-knapPI_14_50_1000_5_-3237.opb.xz,0.17075681686401367,OPTIMUM FOUND,0.136668,0.000572016,0.136062,0.165849,0.0713019,0.042333,0.0351093,0.022427,0.0290365,0.00245836,1.9908e-05,0.0535745,0,0.043221,0,0.00136809,0.00038184,0.0431861,0.100096,0,0,0.01,0.0049455,0.0153294,2,8,457782,4279,133,1,0,250,284,162,215,136,109.047,736.848,0.554485,39,50,122,34.1327,2.50424e+09,0.605903,19.3223,534,0,0,0,258,0,0,2357,0.000215508,3,0,0,2451,32,0,561,32,76,17,2577,0,60,82,128,0,716,127,456354,0,85193,30679,1707639,3531131,708,428,52972,221647,0,461663,1,0,135,11,501,0,117,0,193,158,14,0,0,0,0,1,213,-5737,-5737,-5796.57,1,0,76,38356,11750,83,77,38,6,6,38,0,0,0,0,0,0,0,0,0,0,0,62,17
normalized-factor-size=9-P=41-Q=347.opb.xz,0.11468052864074707,OPTIMUM FOUND,0.0902054,0.000730521,0.0894484,0.0792608,0.00286244,0.0839995,0.0709129,0.00258641,0.00408519,0.0386226,0.000338425,0.042171,0,0.00112583,0,0.00656596,0.00151805,0.00107771,0.00307713,0,0,0,0.0100084,0.00783478,7,2,25018,1412,555,4,0,99,5,248,4,11,3.07224,997.08,0.449548,154,1,436,32,3.29841e+07,0.159782,8.86633,72,0,12,0,447,0,0,713,0.000482117,3,10,0,576,1,0,11479,2365,346,0,10552,0,261,112,303,0,21095,12,3121,0,250876,96262,1160051,851513,33530,49892,101115,204907,0,26916,245,0,560,9,9,0,10253,0,1031,1,5,0,0,0,0,3,0,41,41,27.8415,233,0,892,628860,3456,30,30,2,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,189
normalized-mult_diagcomm_opt_less_teq_nbits_15.opb.xz,901.6572120189667,OPTIMUM FOUND,901.627,0.00589948,901.621,515.709,7.90052,457.494,255.089,436.227,260.493,83.196,0.220371,793.816,1.65796,5.13532,0.0494704,23.4918,1.91348,5.13261,5.39541,0,0,34.75,61.6874,51.5853,4,1,27283324,311071,120270,317,18,1410,3,2721,3,1312,3.29286,673418,0.472002,122882,2,110389,122.199,5.54573e+08,0.224963,16.6213,5,0,0,26136,111701,0,0,156166,0.127473,0,320,656,8283,0,2,6649995,1081972,7615,2,7306239,0,107308,27310,60728,0,12630628,4813,14509574,0,3624753756,2735830056,14579387911,40496319354,31764049,38862338,92346068,253218597,0,27714661,3955,60,134117,14,7,92765,4567008,0,1126248,25803,86,4138,0,290787,453362,0,0,0,0,nan,2820,0,889681,7687811732,7911572,4193,405,457,3572,4183,460,256,129,10,0,0,42,75,0,0,0,0,169960,12603
normalized-simp-nonunif-100_100.12.opb.xz,5.495105266571045,OPTIMUM FOUND,5.27526,3.38788,1.88728,5.84202,1.5169,0.200999,0.171446,0.169378,0.202285,0.0783931,0.00373261,0.293374,0,1.01776,0,0.0312397,0.0746074,0.0916695,0.173763,0,0,0.32,0.813714,3.72709,35,36,1652073,95443,1901,12,0,25484,35,793172,3939,5,2.10042,1.00961,0.494533,1958,23,13,61.8536,1.87964,0.0985247,25.341,12092,10,20584,0,18,0,0,1591,0.00538963,14,18,48,11980,19,3,62354,7930,0,0,1136,0,0,0,0,0,1627189,3148,557,0,1940605,911,1849250,1695004,528,863,617660,9323689,0,1737328,162180,634711,1913,140,75,0,58677,58,3270,5,183,0,13,0,148,2,0,41,41,nan,141811,0,2000,692060000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normalized-aries-da_network_20_2__17_12__128.opb.xz,0.271618127822876,OPTIMUM FOUND,0.167299,0.0217688,0.14549,0.677559,0.144228,0.00126259,0.00123574,0,0.562253,0.0464569,1.998e-06,0.0311218,0,0.0335539,0,0.0331727,0.00291667,0.0211805,0.100036,0,0,0.02,0.0212276,0.026775,0,1,757415,8551,15,0,0,5138,0,2,42,38,406.293,3.39679e+06,0.752274,262,15,7,29.7711,1.66133e+09,0.970898,5.07746,3463,0,0,0,45,0,0,2461,0.0853222,506,0,0,2316,14,0,788,0,257,0,485054,0,0,1,1,0,15,423643,328942,0,14346,5440,4185106,2201272,102,858,393034,961870,0,762768,80,0,264,2,0,0,526,0,5,129,0,0,0,0,0,0,0,46877,46877,18763,80,0,26,779176,17543,13,10,7,3,3,3,0,0,0,0,0,0,0,0,0,0,0,128,0
normalized-minisat50_6_9_2_mh.opb.xz,587.7333736419678,SATISFIABLE,587.133,2.15486,584.978,1253.54,14.4081,239.766,430.995,330.804,784.228,102.334,0.316024,377.166,9.70012,24.8527,0.922304,71.8228,3.2714,21.4757,41.4651,0,0,18.84,22.1725,166.229,0,173,335397390,266148,11757,49,2,250200,0,3616962,134,123264,13.7038,6.9481e+06,0.495309,3396,3005,12726,11746.5,3.65589e+10,0.589481,33.6296,7636,7400,189,19740,135991,0,0,13534,1.95576,70,70,228,219641,138,0,400816,29643,729,6,293779359,0,34790,1076,15942,0,157228307,3108487,173868250,0,793292493,480480955,129811303780,82731732354,60618560,70325946,435399126,1583380761,0,335667694,614824,3117792,18083,344,0,606,367918,245,29699,2728,0,1,0,129,28,0,0,89059836,-50,nan,610308,0,15829,30827811064,160272,8,4,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,4,64
