filename,elapsed time,result,cpu time,parse time,solve time,solve time det,optimization time,top-down time,top-down time det,bottom-up solve time,bottom-up solve time det,conflict analysis time,learned minimize time,propagation time,constraint cleanup time,inprocessing time,garbage collection time,constraint learning time,time spent in activity heuristic,at-most-one detection time,at-most-one detection time det,time spent in lift degree optimization,number of lifted degrees,LP solve time,LP total time,LP total time det,cores,solutions,propagations,decisions,conflicts,restarts,inprocessing phases,original variables,auxiliary variables,input clauses,input cardinalities,input general constraints,input length average,input degree average,input strength average,learned clauses,learned cardinalities,learned general constraints,learned length average,learned degree average,learned strength average,learned LBD average,unit literals derived,pure literals,constraints satisfied at root,constraints simplified during database reduction,small coef constraints,large coef constraints,arbitrary coef constraints,probing calls,probing inprocessing time,unit lits due to probing,equalities due to probing,implications added due to probing,max implications in memory due to probing,detected at-most-ones,units derived during at-most-one detection,resolve steps,self-subsumptions,gcd simplifications,detected cardinalities,weakened non-implied,weakened non-implying,number of multiply-weakens on reason,number of multiply-weakens on conflict,number of direct multiply-weakens,number of indirect multiply-weakens,clausal propagations,cardinality propagations,watched propagations,counting propagations,watch lookups,watch backjump lookups,watch checks,propagation checks,blocking literal success,blocking literal fails,literal additions,saturation steps,unknown literals rounded up,trail pops,formula constraints,dominance breaking constraints,learned constraints,bound constraints,core-guided constraints,reduced constraints,encountered formula constraints,encountered dominance breaking constraints,encountered learned constraints,encountered bound constraints,encountered core-guided constraints,encountered reduced constraints,encountered detected at-most-ones,encountered detected equalities,encountered detected implications,CG unit cores,CG non-clausal cores,best upper bound,best lower bound,LP relaxation objective,LP constraints added,LP constraints removed,LP pivots,LP approximate operations,LP literal additions,LP calls,LP optimalities,LP no pivot count,LP infeasibilities,LP Farkas constraints,LP dual constraints,LP basis resets,LP cycling count,LP singular count,LP no primal count,LP no dual count,LP no farkas count,LP other issue count,LP Gomory cuts,LP learned cuts,LP deleted cuts,LP encountered Gomory constraints,LP encountered Farkas constraints,LP encountered dual constraints
knapPI_15_50_1000_4_-1011.opb.bz2,0.07988119125366211,OPTIMUM FOUND,0.0483014,0.000475532,0.0477897,0.116346,0.043185,0.000750371,0.00242561,0.00385433,0.0128338,0.000104437,0,0.0147737,0,0.0418649,0,0.000227679,5.4569e-05,0.0418313,0.100066,0,0,0,0.000628545,0.000789465,1,5,449206,3246,2,0,0,200,143,81,143,70,103.939,531.102,0.493083,0,41,3,73.3864,1.28445e+09,0.967375,47.9318,0,0,0,0,73,0,0,2792,1.2691e-05,0,0,0,2699,41,0,7,0,7,0,26,0,0,2,1,0,405,0,448798,0,47743,3928,635202,3368330,0,0,15924,86260,0,452454,1,0,2,7,286,0,4,0,0,3,0,0,0,0,0,0,143,-1026,-1026,-1027.3,1,0,6,3200,600,3,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
knapPI_15_200_1000_5_-5067.opb.bz2,0.16788172721862793,OPTIMUM FOUND,0.108334,0.00170548,0.106593,0.16819,0.0111872,0.000219703,0.0259793,0.0951859,0.138067,0.000715808,0,0.00710355,0,0.000697929,0,0.000744576,0.000502554,0.000581792,0.000735921,0,0,0,0.00270021,0.00906323,1,1,1285,4942,3,0,0,1000,310,0,310,314,507.593,1318.85,0.498603,0,0,6,396.167,47577659495,0.841475,46.6667,0,0,0,0,320,0,0,2002,2.711e-06,0,0,0,0,0,0,9,0,3,0,3386,0,2,1,3,0,0,0,1265,0,153542,11272,717686,107003,0,0,168787,820197,0,6230,1,0,3,3,620,0,5,0,0,4,0,0,0,0,0,0,310,-5130,-5130,-5131.01,1,0,4,10000,7000,4,1,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
knapPI_15_10000_1000_2_-101286.opb.bz2,3.600248098373413,OPTIMUM FOUND,3.53349,0.0736276,3.45982,3.87101,0.160265,0.929694,0.823831,2.36986,2.9478,0.0827651,0,0.801872,0,0.0581457,0,0.149061,0.0678733,0.0397038,0.0132472,0,0,0.03,0.229562,0.241471,1,4,23753,125828,12,0,0,20000,332,0,332,339,10137.9,24761.8,0.49642,0,2,15,13185.4,1.75556e+12,0.767225,49.4706,19505,0,0,0,354,0,0,40006,0.000351848,0,0,0,1,0,0,40,0,6,2,39938,0,4,5,7,0,0,0,2453,0,4386044,327200,27685132,11594288,7,1,3864530,18337800,0,130088,1,0,11,6,664,0,7,0,7,16,0,0,0,0,0,0,332,-102099,-102099,-102099,1,0,31,1820000,180000,8,5,2,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,10
knapPI_15_1000_1000_3_-15009.opb.bz2,0.48099470138549805,OPTIMUM FOUND,0.452119,0.00571679,0.446359,0.726655,0.0294186,0.219999,0.276156,0.196941,0.433021,0.0477713,0,0.137449,0,0.00272812,0,0.0468907,0.0458434,0.00236635,0.00203162,0,0,0.01,0.0363553,0.077821,1,6,28477,23467,35,0,0,3000,331,0,331,340,1499.8,3690.54,0.494273,1,4,40,1023.78,1.02512e+11,0.736519,41.2222,2262,0,0,0,380,0,0,6010,4.5027e-05,0,0,0,0,0,0,142,0,11,4,38584,0,35,26,53,0,0,0,24577,0,762294,168314,10257184,3769828,34,9,695479,2989740,0,49717,1,0,34,8,662,0,20,0,45,54,0,0,0,0,0,0,331,-15177,-15177,-15179.7,1,0,13,111000,60000,13,4,7,9,9,2,0,0,0,0,0,0,0,0,0,0,0,4,19
knapPI_15_20_1000_4_-1002.opb.bz2,0.038871049880981445,OPTIMUM FOUND,0.0209982,0.000725477,0.0201698,0.0202552,0.0153757,0.00190964,0.00140521,0.00288449,0.0025939,0.000286724,0,0.00964494,0,0.0133645,0,0.000576598,0.00011209,0.0133141,0.0158719,0,0,0,0.00168234,0.000653974,1,4,68304,1322,6,0,0,80,71,41,71,37,42.5772,401.973,0.490578,2,41,5,29.9375,1.10812e+09,0.881851,25.2708,98,0,0,0,42,0,0,1103,2.3405e-05,0,0,0,983,38,0,17,0,9,3,103,0,1,1,1,0,173,4,68059,0,15796,1541,104688,481975,0,0,3821,20451,0,69534,1,0,6,6,142,0,11,0,2,4,0,0,0,0,0,0,70,-1014,-1014,-1015.29,1,0,9,1940,500,6,4,2,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
knapPI_15_10000_1000_1_-50622.opb.bz2,1.233231782913208,OPTIMUM FOUND,1.20304,0.0517638,1.15118,1.77277,0.119351,0.161275,0.253615,0.870556,1.46765,0.0204133,0,0.155094,0,0.0206523,0,0.026365,0.0170696,0.0177261,0.00665733,0,0,0.04,0.0546071,0.0534748,1,4,8316,68379,6,0,0,10000,332,0,332,339,5062.16,12344.2,0.495952,0,1,7,8439.38,8.67745e+11,0.873281,52.5,4555,0,0,0,346,0,0,20002,1.5926e-05,0,0,0,0,0,0,17,0,6,1,9110,0,1,1,2,0,0,0,3094,0,1817329,163835,9758997,5072373,0,0,1805371,8851095,0,72146,1,0,6,6,664,0,4,0,4,6,0,0,0,0,0,0,332,-50622,-50622,-50622.6,1,0,13,370000,40000,4,3,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3
knapPI_15_1000_1000_4_-20175.opb.bz2,0.5592477321624756,OPTIMUM FOUND,0.535599,0.0224192,0.513074,0.886444,0.0381454,0.215843,0.282297,0.259086,0.57956,0.0598539,0.0324376,0.133977,0,0.00949176,0,0.0303018,0.0120026,0.00810213,0.00269334,0,0,0.02,0.0550407,0.0789896,1,7,24945,24826,33,0,0,4000,331,0,331,341,2009.69,4943.3,0.493297,2,3,40,1811.47,1.86632e+11,0.6746,52.3778,3395,0,0,0,381,0,0,8008,5.7152e-05,0,0,0,0,0,0,494,404,9,3,20781,0,4,14,16,0,1,1,21197,0,961397,142727,9735208,3855700,20,24,946631,3920061,0,46409,1,0,32,9,662,0,36,0,416,24,0,0,0,0,0,0,331,-20448,-20448,-20449.9,1,0,28,328000,60000,23,21,9,2,2,11,0,0,0,0,0,0,0,0,0,0,0,8,10
knapPI_15_5000_1000_5_-125571.opb.bz2,3.1142678260803223,OPTIMUM FOUND,3.05323,0.105867,2.94725,4.89358,0.161936,0.733984,1.08639,2.05133,3.68306,0.0861474,0,0.592432,0,0.0470992,0,0.0894667,0.0652882,0.0414611,0.0165617,0,0,0.06,0.190818,0.163245,1,4,28498,157666,11,0,0,25000,332,0,332,339,12666.2,30930.2,0.49635,0,1,13,10871.4,2.00739e+12,0.868813,55.7143,24652,0,0,0,352,0,0,50006,0.000186626,0,0,0,0,0,0,28,0,6,1,149105,0,8,5,13,0,0,0,3967,0,5628826,931165,74634167,9662755,0,0,4668789,22594979,0,161523,1,0,11,6,664,0,1,0,2,11,0,0,0,0,0,0,332,-127425,-127425,-127425,1,0,5,276360,125680,11,9,7,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,14
knapPI_15_10000_1000_5_-249006.opb.bz2,7.775469779968262,OPTIMUM FOUND,7.71692,0.159769,7.55709,12.0541,0.39467,2.62602,4.44221,4.53641,7.34594,0.553737,0.0102128,1.78532,0,0.102123,0,0.471775,0.209482,0.0908778,0.0331245,0,0,0.17,0.607533,1.24236,1,5,115429,380102,39,0,0,50000,332,0,332,340,25302.4,61745.1,0.495556,2,4,45,26085.5,2.9341e+12,0.793261,46.6667,47981,0,0,0,385,0,0,100010,0.000504845,0,0,0,0,0,0,145,0,11,4,212521,0,39,9,38,0,2,0,62681,0,12024453,1517277,129040103,104555852,107,123,12766544,53341900,0,447589,1,0,38,7,664,0,4,0,23,75,0,0,0,0,0,0,332,-252642,-252642,-252642,1,0,25,3650000,950000,15,9,4,6,6,7,0,0,0,0,0,0,0,0,0,0,0,16,27
knapPI_15_200_1000_3_-2916.opb.bz2,0.12775969505310059,OPTIMUM FOUND,0.0871654,0.00120302,0.085928,0.102605,0.00269103,0.0430164,0.0269532,0.0402206,0.0717138,0.00147905,0.000499701,0.0288583,0,0.000474288,0,0.0132425,0.000398634,0.000392772,0.000488932,0,0,0,0.00297969,0.00870939,1,7,4700,4017,16,0,0,600,274,0,274,284,300.039,858.991,0.494571,1,4,18,186.783,7.94564e+09,0.634542,28.2609,770,0,0,0,302,0,0,1212,1.6983e-05,0,0,0,0,0,0,48,0,14,4,1280,0,5,6,7,0,0,8,4069,0,140960,17014,1153290,335722,7,21,95331,447872,0,7963,1,0,16,9,548,0,18,0,5,21,0,0,0,0,0,0,273,-2946,-2946,-2946.65,1,0,20,27465,6652,11,5,4,6,5,2,0,0,0,0,0,0,0,0,0,0,0,1,3
knapPI_15_50_1000_5_-1047.opb.bz2,0.09053826332092285,OPTIMUM FOUND,0.073215,0.00161268,0.071505,0.127793,0.0582732,0.00268538,0.00762693,0.0105465,0.01903,0.000919363,9.753e-06,0.0369058,0,0.0542867,0,0.00102052,0.000347169,0.054168,0.100089,0,0,0,0.00232577,0.00324725,1,3,453036,3137,9,0,0,250,173,88,173,91,126.398,540.795,0.496996,2,34,9,90.4667,3.01174e+09,0.890268,46.4222,361,0,0,0,100,0,0,2348,3.621e-05,0,0,0,2300,31,0,34,1,8,3,456,0,3,6,6,0,353,0,452453,0,43203,4336,741452,2588801,0,0,27798,130621,0,455821,1,0,9,5,346,0,15,0,7,12,0,0,0,0,0,0,173,-1062,-1062,-1064.98,1,0,8,5500,2500,8,4,2,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
