filename,elapsed time,result
normalized-10_20.opb.xz,0.030193805694580078,OPTIMUM FOUND
normalized-5_10.opb.xz,0.021583080291748047,OPTIMUM FOUND
normalized-knapPI_14_50_1000_5_-3237.opb.xz,0.09938764572143555,OPTIMUM FOUND
normalized-cc.opb.xz,0.10379791259765625,OPTIMUM FOUND
normalized-factor-size=9-P=41-Q=347.opb.xz,0.10465216636657715,OPTIMUM FOUND
normalized-aries-da_network_20_2__17_12__128.opb.xz,0.10188412666320801,OPTIMUM FOUND
normalized-fir03_trarea_ac.opb.xz,0.10941505432128906,OPTIMUM FOUND
normalized-8_16.opb.xz,0.15693211555480957,OPTIMUM FOUND
normalized-mult_diagcomm_opt_greater_teq_nbits_10.opb.xz,1.5066092014312744,OPTIMUM FOUND
normalized-domset_opt_hexgrid_nrowsdiv30add5_ncols_340.opb.xz,1.3928847312927246,OPTIMUM FOUND
normalized-fir04_trarea_ac.opb.xz,1.6258318424224854,OPTIMUM FOUND
"""normalized-factor-sizeN=300-sizeP=151-sizeQ=300-692949159-max.opb.xz""",6.674270153045654,NO_OUTPUT
normalized-simp-nonunif-100_100.12.opb.xz,8.413881063461304,OPTIMUM FOUND
normalized-aim-200-2_0-yes1-2.opb.xz,0.15382075309753418,OPTIMUM FOUND
normalized-vertexcover_opt_grid_oddrowevencolsquare_dim_076.opb.xz,9.471237421035767,OPTIMUM FOUND
normalized-libpango-perl.cudf.trendy.opb.xz,13.991923809051514,OPTIMUM FOUND
normalized-lo_8x8_006.opb.metafix.opb.xz,0.01695561408996582,OPTIMUM FOUND
normalized-mult_diagcomm_opt_less_teq_nbits_15.opb.xz,17.445781230926514,OPTIMUM FOUND
normalized-lp4l.opb.xz,47.70624303817749,OPTIMUM FOUND
normalized-minisat15_5_3_4_mh.opb.xz,39.98599982261658,OPTIMUM FOUND
normalized-ssa7552-038.opb.xz,49.82487201690674,OPTIMUM FOUND
normalized-50-250-false-45-90-4-1000opt.opb.xz,104.78945589065552,OPTIMUM FOUND
normalized-rand1958fb.cudf.trendy.opb.xz,0.6055967807769775,OPTIMUM FOUND
normalized-50-750-false-45-90-4-5000opt.opb.xz,411.27811455726624,OPTIMUM FOUND
normalized-ss97-2.opb.xz,303.20921516418457,OPTIMUM FOUND
normalized-NG.dot_luby_20null50mast_rapportOE2.0_TMAX60_K192_cod2.opb.xz,888.5423076152802,OPTIMUM FOUND
normalized-knapPI_1_2000_1000_1_-110625.opb.xz,0.25344157218933105,OPTIMUM FOUND
normalized-f20c10b_010_area_delay.opb.xz,1201.6694571971893,OPTIMUM FOUND
Init-x2-i8_pp_100.opb.xz,4.229210615158081,OPTIMUM FOUND
normalized-comppebphp_opt_pyrheightequalsnholes_50.opb.xz,2066.1155395507812,OPTIMUM FOUND
normalized-domset_opt_hexgrid_nrowsdiv30add5_ncols_080.opb.xz,1218.9217393398285,OPTIMUM FOUND
normalized-injcomp_opt_4layers_maxall_lastlayerdiv2_size_16.opb.xz,7200,TIMEOUT
normalized-data6_3.opb.xz,7200,TIMEOUT
normalized-frb40-19-1.opb.xz,7200,TIMEOUT
normalized-ex1010-pi.opb.xz,7200,TIMEOUT
normalized-mps-v2-20-10-standgub.opb.xz,7200,TIMEOUT
normalized-sporttournament50.lin.opb.xz,7200,TIMEOUT
normalized-fx75.opb.xz,7200,TIMEOUT
normalized-domset_v500_e2000_w30_mw19_10.opb.PB06.opb.xz,7200,TIMEOUT
normalized-matrix_5x3_2.opb.xz,7200,TIMEOUT
normalized-vtxcov_v2000_e4000_6.opb.PB06.opb.xz,7200,TIMEOUT
normalized-sep6.5.opb.xz,7200,TIMEOUT
normalized-mps-v2-20-10-maros.opb.xz,7200,TIMEOUT
normalized-ex1010.pi.opb.xz,7200,TIMEOUT
normalized-mps-v2-20-10-usAbbrv.8.25_70.opb.xz,7200,TIMEOUT
normalized-opt-market-split_6_50_1.opb.xz,7200,TIMEOUT
normalized-frb53-24-1.opb.xz,7200,TIMEOUT
normalized-hw64-vm75p-opt.opb.negationfix.opb.xz,7200,TIMEOUT
normalized-minisat100_4_32_5.opb.xz,7200,TIMEOUT
normalized-minisat50_6_9_2_mh.opb.xz,7200,TIMEOUT
normalized-ns1853823.opb.xz,7200,TIMEOUT
normalized-linearized_pebbling_opt_layeredfan_up_r11_c22_a6.opb.xz,0.689183235168457,OPTIMUM FOUND
normalized-minisat25_6_3_5_ic.opb.xz,1.591958999633789,UNSATISFIABLE
normalized-faclay60.lin.opb.xz,7200,TIMEOUT
normalized-KE_140_005.opb.xz,2.5531246662139893,OPTIMUM FOUND
normalized-BA_RDC4.dot_unif_10null0mast_rapportOE2.0_TMAX60_K67_cod2_pbEq1_newVersion.opb.xz,7200,TIMEOUT
